ŒUVRE 1	ŒUVRE 2	NUM	PERCENTAGE	TEXTE 1	TEXTE 2	INTRA
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	29	1	… Les villages aux noms perdus vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	Les villages aux noms perdus vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	True
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	5	1	… Qui m’a secrètement guidé vers ce village ?	Qui m’a secrètement guidé vers ce village ?	True
Périodiques et collectifs 1943-1976	Adieu 1927	8	0.421	… Sous l’arbre obscur où brille un chant d’oiseau limpide comme une étoile !	Quel cadavre frôlé de fleurs vivantes, à l’heure de la rosée, sous l’arbre obscur où brille un chant d’oiseau limpide comme une étoile !	False
JOURNAL	Adieu 1927	2	0.6666	………………………………………………………………………  IX « De quels abîmes jailli ?	De quels abîmes jailli !	False
Périodiques et collectifs 1915-1942	JOURNAL	38	0.5588	…Toi qui as eu pitié de ton frère inconnu et qui lui as parlé au long des routes, dans la poussière et la pluie, toi qui as bu avec lui dans les auberges les âpres liqueurs des mendiants, toi sur qui il s’appuie, qu’il entoure de son désespéré silence, – mon frère ah j’étouffe si elle n’a été que d’un jour cette caresse !	II Après le  mai que je dise, pendant que j’ai cette angoisse qui me torture – toi qui as ta vie, ……………………………………………………………… ……………………………………………………………………… toi qui as eu pitié de ton frère inconnu et qui lui as parlé au long des routes, dans la poussière et la pluie, toi qui as bu avec lui dans les auberges les âpres liqueurs des mendiants, toi sur qui il s’appuie, qu’il entoure de son désespéré silence – mon frère, ha ?	False
Périodiques et collectifs 1915-1942	JOURNAL	2	0.5	« … Et tout est repeuplé.	Dimanche  juillet « … et tout est repeuplé.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	43	0.4777	« À cette heure, écrit-il à sa mère pendant des manœuvres, en , à cette heure où je suis dépouillé de tout luxe de pensée, de toute affectation, où il ne reste au fond de mes désirs appauvris que le plus essentiel : celui qui n’a même pas de nom, je vois bien que le seul qui m’ait aidé à approcher de ce monde inconnu et particulier que je désire est Jacques Rivière… » Et l’on peut suivre, à travers Miracles et la correspondance avec Jacques, les hésitations si touchantes de cette voix qui sait qu’elle doit parler et doute encore de son chant.	… À cette heure où je suis dépouillé de tout luxe de pensée, de toute affectation, où il ne reste au fond de mes désirs appauvris que le plus essentiel : celui qui n’a pas même de nom, je vois bien que le seul qui m’ait aidé à approcher de ce monde inconnu et particulier que je désire est Jacques Rivière avec ses théories limpides, ses grands travaux dits « abstraits ».	True
Périodiques et collectifs 1915-1942	Air de la solitude 1945	4	0.8	« Ah cette voix perdue n’est pas d’ici !	cette voix perdue n’est pas d’ici !	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	6	1	« Attends, beau dragon, si nous partagions les joies !	« Attends, beau dragon, si nous partagions les joies !	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	11	0.6111	« Avant de venir ici, leur dit-il, nous sommes entrés à deux dans une cour de ferme demander du lait.	… Avant de venir ici manger une omelette, nous sommes entrés à deux dans une cour de ferme demander du lait.	False
Périodiques et collectifs 1943-1976	Haut-Jorat 1949	14	1	« Avant de venir ici, leur dit-il, nous sommes entrés à deux dans une cour de ferme demander du lait.	Avant de venir ici, leur dit-il, nous sommes entrés à deux dans une cour de ferme demander du lait.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	86	1	« C’est la dernière nuit, dit Paul (et son récit terminera ce tout petit traité où l’auteur néglige preuves et raisons, espérant seulement propager une sorte de contagion « oblique », comme les musiques à bouche des dimanches soirs qui, de trois accords, changent les cœurs d’un village, ou pareille encore à ce piano dans la grande maison noyée de soleil qui fait que le passant s’arrête la gorge serrée et laisse une seule « Dernière Pensée » éveiller en lui toute pensée) – c’est au bord de la dernière nuit que j’ai connu ce furieux renversement de tout l’être, la réponse donnée dans le temps même où la bête elle aussi va succomber.	« C’est la dernière nuit, dit Paul (et son récit terminera ce tout petit traité où l’auteur néglige preuves et raisons, espérant seulement propager une sorte de contagion « oblique », comme les musiques à bouche des dimanches soirs qui, de trois accords, changent les cœurs d’un village, ou pareille encore à ce piano dans la grande maison noyée de soleil qui fait que le passant s’arrête la gorge serrée et laisse une seule « Dernière Pensée » éveiller en lui toute pensée) – c’est au bord de la dernière nuit que j’ai connu ce furieux renversement de tout l’être, la réponse donnée dans le temps même où la bête elle aussi va succomber.	False
Périodiques et collectifs 1915-1942	Campagne perdue 1972	12	0.75	« C’est le moment d’arriver au bout, dit Aimé, les bêtes ne l’aiment plus, elles en laissent dans leur crèche.	« C’est le moment d’arriver au bout, s’écrie Aimé, les bêtes ne l’aiment plus, elles en laissent dans leur crèche.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	11	1	« C’était ton ami au temps de la moisson, et il y aura d’autres moissons encore !	« C’était ton ami au temps de la moisson, et il y aura d’autres moissons encore !	False
Périodiques et collectifs 1943-1976	JOURNAL	28	0.5283	« Croire en son chant, en un chant, alors que tout s’acharne à vous persuader qu’il ne peut qu’être de sens nul », voilà ce que chacune de ses phrases fluides et chatoyantes, moins délirantes que celles des alouettes, mais d’une vérité aussi souveraine, me redisait, m’enseignait, m’infusait pendant des heures.	Croire en son chant, en un chant, alors que tout s’acharne à vous persuader qu’il ne peut être que dépourvu de sens, plus encore : coupable, voilà ce que chacune de ses notes, chacune de ses phrases fluides et lumineuses, moins délirantes que celles des alouettes, mais d’une vérité aussi souveraine, me répétait pendant des heures.	False
Périodiques et collectifs 1943-1976	Campagne perdue 1972	38	1	« Croire en son chant, en un chant, alors que tout s’acharne à vous persuader qu’il ne peut qu’être de sens nul », voilà ce que chacune de ses phrases fluides et chatoyantes, moins délirantes que celles des alouettes, mais d’une vérité aussi souveraine, me redisait, m’enseignait, m’infusait pendant des heures.	« Croire en son chant, en un chant, alors que tout s’acharne à vous persuader qu’il ne peut qu’être de sens nul », voilà ce que chacune de ses phrases fluides et chatoyantes, moins délirantes que celles des alouettes, mais d’une vérité aussi souveraine, me redisait, m’enseignait, m’infusait pendant des heures.	False
Périodiques et collectifs 1915-1942	Feuillets 1929	12	1	« È bellino » crie un jouvenceau qui fait des tours de carte stupides sous un globe d’albâtre.	« È bellino » crie un jouvenceau qui fait des tours de carte stupides sous un globe d’albâtre.	False
JOURNAL	Feuillets 1929	8	0.3636	« Ecris à l’ange de l’Eglise de Laodicée… » ma tiédeur n’est pas indifférence ; c’est une « moyenne » résultant d’états extrê- mes et opposés.	« Écris à l’ange de l’église de Laodicée… » Ma tiédeur n’est pas indifférence, c’est une « moyenne » d’états extrêmes et opposés.	False
Périodiques et collectifs 1915-1942	Les fleurs et les saisons	18	1	« Eloignement infini du monde des fleurs », dit Novalis en traduisant avec une netteté, une brièveté singulières une certitude que nous avons tous entrevue.	« Eloignement infini du monde des fleurs », dit Novalis en traduisant avec une netteté, une brièveté singulières une certitude que nous avons tous entrevue.	False
Périodiques et collectifs 1943-1976	Campagne perdue 1972	24	1	« Et vous jeunettes amoureuses, moralise le chanteur, vous qui êtes autour de moi à m’écouter, ne vous laissez jamais prendre aux cajoleries, non vi fate giammai lusingare perché l’amore è l’onestità!	« Et vous jeunettes amoureuses, moralise le chanteur, vous qui êtes autour de moi à m’écouter, ne vous laissez jamais prendre aux cajoleries, non vi fate giammai lusingare perché l’amore è l’onestità!	False
JOURNAL	Air de la solitude 1945	6	0.5	« Ferme les yeux, afin que s’ouvre l’œil intérieur.	Nulle allusion, ici, à la parole de Plotin : « Ferme les yeux, afin que s’ouvre l’œil intérieur.	False
JOURNAL	Campagne perdue 1972	9	0.3	« Foulaz-Verney, séjour de mon enfance… » très loin là-bas, au tour- nant de la vallée luit la façade blanche de la ferme où mes grands-parents, mes arrière-grands-parents ont vécu.	Foulaz-Verney… Très loin là-bas, au tournant de la vallée luit sa façade blanche : la ferme où mes grands-parents ont vécu, mes arrière-grands-parents.	False
Périodiques et collectifs 1943-1976	Le repos du cavalier 1958	14	1	« II s’est trompé, redit Rose, je l’ai trouvé hier qui se débattait dans ce rideau, contre la fenêtre.	« II s’est trompé, redit Rose ; je l’ai trouvé hier qui se débattait dans ce rideau, contre la fenêtre.	False
Périodiques et collectifs 1915-1942	Les fleurs et les saisons	14	1	« Il faut que l’herbe et la fleur des champs soient fauchées et se flétrissent, pour être sauvées par l’homme.	« Il faut que l’herbe et la fleur des champs soient fauchées et se flétrissent, pour être sauvées par l’homme.	False
Périodiques et collectifs 1943-1976	Les fleurs et les saisons	10	0.3125	« Il faut, songe-t-il (et déjà se fane à ses doigts le rameau rompu, fleurs et feuilles), il faut que l’herbe et la fleur des champs soient fauchées et se flétrissent, pour que l’homme puisse les sauver.	« Il faut que l’herbe et la fleur des champs soient fauchées et se flétrissent, pour être sauvées par l’homme.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	10	0.3125	« Il faut, songe-t-il (et déjà se fane à ses doigts le rameau rompu, fleurs et feuilles), il faut que l’herbe et la fleur des champs soient fauchées et se flétrissent, pour que l’homme puisse les sauver.	« Il faut que l’herbe et la fleur des champs soient fauchées et se flétrissent, pour être sauvées par l’homme.	False
Périodiques et collectifs 1915-1942	Feuillets 1929	4	0.6666	« Il vero proletario, e siamo tutti cosi !	« II vero proletario, e siamo tutti cosi !	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	26	1	« Il y a des musiques sur le Grand-Pont aujourd’hui dimanche, et des jeunes filles, cols marins, souliers à hauts talons – et des cyclistes à mollets, empanachés de dahlias comme des “fustes” de Lavaux.	« Il y a des musiques sur le Grand-Pont aujourd’hui dimanche, et des jeunes filles, cols marins, souliers à hauts talons – et des cyclistes à mollets, empanachés de dahlias comme des « fustes » de Lavaux.	False
Périodiques et collectifs 1915-1942	Le repos du cavalier 1958	14	1	« J’avais le regard si perdu, la contenance si morte que ceux qui m’ont rencontré ne m’ont peut-être pas vu.	« J’avais le regard si perdu, la contenance si morte que ceux qui m’ont rencontré ne m’ont peut-être pas vu.	False
Périodiques et collectifs 1943-1976	Le repos du cavalier 1958	14	1	« J’avais le regard si perdu, la contenance si morte que ceux qui m’ont rencontré ne m’ont peut-être pas vu.	« J’avais le regard si perdu, la contenance si morte que ceux qui m’ont rencontré ne m’ont peut-être pas vu.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	14	1	« J’avais le regard si perdu, la contenance si morte que ceux qui m’ont rencontré ne m’ont peut-être pas vu.	« J’avais le regard si perdu, la contenance si morte que ceux qui m’ont rencontré ne m’ont peut-être pas vu.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	5	0.3333	« L’essence de l’art, qui est du cœur… »  C.	L’essence de l’art, qui est du cœur, n’est-elle pas de concilier à sa façon l’immobilité et le mouvement.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	16	0.8	« Là, disait-il en fermant bruyamment le portillon du poële et en raffermissant sur sa tête un bonnet d’Écossais, là, voilà une bonne flambée.	“Là, disait-il en fermant bruyamment le portillon du poêle et en raffermissant sur sa tête un bonnet d’Écossais, là, voilà une bonne flambée.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	10	0.3448	« Le Paradis, écrivait Novalis, est dispersé sur toute la terre, c’est pourquoi on ne le reconnaît plus.	Sans craindre le ridicule, juste punition des ressasseurs, je veux redire, une fois encore, l’impérissable parole de Novalis : Le Paradis est dispersé sur toute la Terre, c’est pourquoi on ne le reconnaît plus.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	10	0.3448	« Le Paradis, écrivait Novalis, est dispersé sur toute la terre, c’est pourquoi on ne le reconnaît plus.	Sans craindre le ridicule, juste- punition des ressasseurs, je veux redire, une fois encore, l’impérissable parole de Novalis : Le Paradis est dispersé sur toute la Terre, c’est pourquoi on ne le reconnaît plus.	True
Périodiques et collectifs 1943-1976	JOURNAL	9	0.3461	« Le Paradis, écrivait Novalis, est dispersé sur toute la terre, c’est pourquoi on ne le reconnaît plus.	Alfred Berchtold termine son étude sur Gustave Roud par cette citation de Novalis : « Le Paradis est dispersé sur toute la Terre, c’est pourquoi on ne le reconnaît plus.	False
Périodiques et collectifs 1943-1976	Le repos du cavalier 1958	18	1	« Le sang des étoiles n’est pas celui des hommes, se disent-ils, et chaque homme vit et meurt de son propre sang qu’il n’échangera jamais.	« Le sang des étoiles n’est pas celui des hommes, se disent-ils, et chaque homme vit et meurt de son propre sang qu’il n’échangera jamais.	False
Périodiques et collectifs 1943-1976	Le repos du cavalier 1958	18	1	« Le sang des étoiles n’est pas celui des hommes, se disent-ils, et chaque homme vit et meurt de son propre sang qu’il n’échangera jamais.	« Le sang des étoiles n’est pas celui des hommes, se disent-ils, et chaque homme vit et meurt de son propre sang qu’il n’échangera jamais.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	18	1	« Le sang des étoiles n’est pas celui des hommes, se disent-ils, et chaque homme vit et meurt de son propre sang qu’il n’échangera jamais.	« Le sang des étoiles n’est pas celui des hommes, se disent-ils, et chaque homme vit et meurt de son propre sang qu’il n’échangera jamais.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	3	1	« Mais non, j’arrive, me voici !	« Mais non, j’arrive, me voici !	True
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	8	1	« Mange ta soupe, puisque tu as faim, et puis reprends route.	« Mange ta soupe, puisque tu as faim, et puis reprends route.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	16	0.3076	« Muse de l’impuissance, s’écrie-t-il, qui taris le rythme et me forces de relire ; ennemie avec des breuvages, je te rends l’ivresse qui vient d’autrui.	Excessive, l’inquiétude ne peut être que paralysante ; Auberjonois, quelquefois n’ayant pu s’en délivrer sans artifice, pourrait s’écrire comme Mallarmé : « Muse de l’impuissance, qui taris le rythme et me forces de relire ; ennemie avec des breuvages, je te rends l’ivresse qui vient d’autrui » et rendre à Cézanne, à Rousseau cette ivresse empruntée dont il a étourdi son angoisse de retomber au rang de quiconque.	False
Périodiques et collectifs 1915-1942	Campagne perdue 1972	30	0.909	« Oh, dit Aimé, le visage rose, les mains roses, le corps bleu, d’un bleu glacé presque vert à cause du soleil qui se couche, voilà des années qu’il ne donnait plus rien, et ça n’a jamais été des bonnes poires.	« Oh, me dit Aimé, le visage rose, les mains roses, le corps bleu, d’un bleu glacé presque vert à cause du soleil qui se couche, voilà des années qu’il ne donnait plus rien, et ça n’a jamais été des bonnes poires.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	2	1	« Plus vite, Marie !	« Plus vite, Marie !	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	19	0.76	« Pourquoi repartir, (vous chante une paresse sournoise à la table où la soif pour quelques minutes, pensez-vous, vous arrête, hanté d’un nom à découvrir, plus loin, plus loin encore !)	« Pourquoi repartir (vous chante une paresse sournoise à la table où la soif pour quelques minutes vous arrête, pensez-vous, hanté d’un nom à découvrir, plus loin, plus loin encore !)	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	4	0.8	« Qui donc a pu écrire cela ?	Mais qui donc a pu écrire cela ?	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	24	0.7058	« Quoi, s’émerveille-t-on, c’était donc cela la raison de vivre de ce grand garçon si simple, sa vie même, cette conquête pas à pas de la plénitude, – mais d’une plénitude inséparable de la sérénité ?	« Quoi, s’émerveille-t-on, c’était donc cela la raison de vivre de ce grand garçon si simple, sa vie même, cette conquête pas à pas de la plénitude, mais d’une plénitude qui ne peut s’épanouir que dans le climat même de la sérénité.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	2	1	« Ramuz nous a abandonnés !	« Ramuz nous a abandonnés !	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	2	1	« Ramuz nous a abandonnés !	« Ramuz nous a abandonnés !	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	2	1	« Ramuz nous a abandonnés !	« Ramuz nous a abandonnés !	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	2	1	« Ramuz nous a abandonnés !	« Ramuz nous a abandonnés !	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	2	1	« Ramuz nous a abandonnés !	« Ramuz nous a abandonnés !	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	2	1	« Ramuz nous a abandonnés !	« Ramuz nous a abandonnés !	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	32	0.8	« Refus de faire appel aux facilités du sentiment… » : c’est-à-dire refus d’accorder à l’intention une valeur indépendante du degré où la matière l’a traduite ; refus de l’illumination et des hiatus obscurs qu’elle implique ; désir d’atteindre au continu, de passer d’un accent à l’autre par des enchaînements sans faiblesse.	« Refus de faire intervenir le sentiment », c’est-à-dire refus d’accorder à l’intention une valeur indépendante du degré où la matière l’a traduite ; refus de l’illumination et des hiatus obscurs qu’elle implique ; désir d’atteindre au continu, de passer d’un accent à l’autre par des enchaînements sans faiblesse.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	30	0.6976	« Refus de faire appel aux facilités du sentiment… » : c’est-à-dire refus d’accorder à l’intention une valeur indépendante du degré où la matière l’a traduite ; refus de l’illumination et des hiatus obscurs qu’elle peut impliquer ; désir d’atteindre au continu, de passer d’un accent à l’autre par des enchaînements sans faiblesse.	« Refus de faire intervenir le sentiment », c’est-à-dire refus d’accorder à l’intention une valeur indépendante du degré où la matière l’a traduite ; refus de l’illumination et des hiatus obscurs qu’elle implique ; désir d’atteindre au continu, de passer d’un accent à l’autre par des enchaînements sans faiblesse.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	35	0.875	« Refus de faire appel aux facilités du sentiment… » : c’est-à-dire refus d’accorder à l’intention une valeur indépendante du degré où la matière l’a traduite ; refus de l’illumination et des hiatus obscurs qu’elle peut impliquer ; désir d’atteindre au continu, de passer d’un accent à l’autre par des enchaînements sans faiblesse.	« Refus de faire appel aux facilités du sentiment… » : c’est-à-dire refus d’accorder à l’intention une valeur indépendante du degré où la matière l’a traduite ; refus de l’illumination et des hiatus obscurs qu’elle implique ; désir d’atteindre au continu, de passer d’un accent à l’autre par des enchaînements sans faiblesse.	True
JOURNAL	Campagne perdue 1972	15	0.5172	« Resté seul », il faudrait à ces deux mots leur pouvoir impérissable, inconditionnel ; ils représenteraient alors (sans pouvoir, hélas, la faire sentir) une espèce de solitude absolue – la mienne.	« Resté seul », il faudrait donner à ces deux mots leur pouvoir impérissable, inconditionnel ; ils représenteraient alors (sans réussir, hélas, à la faire sentir) une sorte d’absolu dans la solitude.	False
Périodiques et collectifs 1915-1942	JOURNAL	17	0.6296	« Resté seul », il faudrait donner à ces deux mots leur pouvoir impérissable, inconditionnel ; ils représenteraient alors (sans réussir, hélas, à la faire sentir) une sorte de solitude absolue.	« Resté seul », il faudrait à ces deux mots leur pouvoir impérissable, inconditionnel ; ils représenteraient alors (sans pouvoir, hélas, la faire sentir) une espèce de solitude absolue – la mienne.	False
Périodiques et collectifs 1915-1942	Campagne perdue 1972	19	0.76	« Resté seul », il faudrait donner à ces deux mots leur pouvoir impérissable, inconditionnel ; ils représenteraient alors (sans réussir, hélas, à la faire sentir) une sorte de solitude absolue.	« Resté seul », il faudrait donner à ces deux mots leur pouvoir impérissable, inconditionnel ; ils représenteraient alors (sans réussir, hélas, à la faire sentir) une sorte d’absolu dans la solitude.	False
Périodiques et collectifs 1915-1942	JOURNAL	8	1	« Réversibilité » : Hodie eris mecum in Paradiso, justification éblouissante de ce dogme.	RÉVERSIBILITÉ Hodie eris mecum in Paradiso , justification éblouissante de ce dogme.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	2	1	« Si nous y retournions ?	« Si nous y retournions ?	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	35	1	« Soudain » ici est à la fois juste et faux, car on sent bien que quelque chose a changé brusquement (et c’est la lumière), mais ce n’est que peu à peu que toutes choses nous paraissent métamorphosées, peu à peu que se consomme la grande réconciliation.	« Soudain » ici est à la fois juste et faux, car on sent bien que quelque chose a changé brusquement (et c’est la lumière), mais ce n’est que peu à peu que toutes choses nous paraissent métamorphosées, peu à peu que se consomme la grande réconciliation.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	8	0.3333	« Soumission réfléchie à l’objet » : s’agit-il donc d’en tirer copie, d’en parfaire un inutile « double » sur la toile, avec patience et tremblement ?	« Soumission réfléchie à l’objet », – s’agit-il donc d’en tirer copie, d’en construire inutilement sur la toile, à grand’patience et tremblement, un double ?	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	8	0.3333	« Soumission réfléchie à l’objet » : s’agit-il donc d’en tirer copie, d’en parfaire un inutile « double » sur la toile, avec patience et tremblement ?	« Soumission réfléchie à l’objet », – s’agit-il donc d’en tirer copie, d’en construire inutilement sur la toile, à grand’patience et tremblement, un double ?	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	16	1	« Soumission réfléchie à l’objet » : s’agit-il donc d’en tirer copie, d’en parfaire un inutile « double » sur la toile, avec patience et tremblement ?	« Soumission réfléchie à l’objet » : s’agit-il donc d’en tirer copie, d’en parfaire un inutile « double » sur la toile, avec patience et tremblement ?	True
Périodiques et collectifs 1943-1976	Campagne perdue 1972	15	1	« Terra maledetta da Dio, dit une lettre de là-bas, terre maudite par Dieu, j’y vis comme un oiseau en cage.	Terra maledetta da Dio, dit une lettre de là-bas, terre maudite par Dieu, j’y vis comme un oiseau en cage.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	10	0.4166	« Tout l’indique (sic), les preuves en sont même formelles, ils sont postérieurs à ce fatal octobre  ».	Or, tout l’indique, les preuves en sont même formelles, ils sont postérieurs à ce fatal octobre  à partir duquel tout ce que Ramuz a écrit est, selon M.	True
JOURNAL	JOURNAL	4	0.3333	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	Voir Gustave Roud – Steven-Paul Robert, Lettres de jeunesse (-), Cahier Gustave Roud , op. cit., pp. -.	True
JOURNAL	JOURNAL	4	0.3333	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	Voir Gustave Roud – Steven-Paul Robert, Lettres de jeunesse (-), Cahier Gustave Roud , op. cit., pp. -.	True
JOURNAL	JOURNAL	4	0.3333	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	Les poèmes en vers et en versets, Cahier Gustave Roud , op. cit., pp. -.	True
JOURNAL	JOURNAL	4	0.3333	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	Les poèmes en vers et en versets, Cahier Gustave Roud , op. cit., pp. -.	True
JOURNAL	JOURNAL	4	0.4	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	Voir « Traductions éparses », Cahier Gustave Roud , op. cit., p.  et pp. -.	True
JOURNAL	JOURNAL	4	0.4	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	Voir « Traductions éparses », Cahier Gustave Roud , op. cit., p.  et pp. -.	True
JOURNAL	JOURNAL	6	1	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	« Traductions éparses », Cahier Gustave Roud , op. cit., pp. -.	True
Périodiques et collectifs 1915-1942	Air de la solitude 1945	20	1	« Tu as fait de ta conscience le centre du monde et de toi-même, me souffle une voix, c’est pourquoi le monde et toi-même avez été dévorés.	« Tu as fait de ta conscience le centre du monde et de toi-même, me souffle une voix, c’est pourquoi le monde et toi-même avez été dévorés.	False
Périodiques et collectifs 1915-1942	Feuillets 1929	3	1	« Tu sei il vero proletario !	« Tu sei il vero proletario !	False
